Вид спорта;Район;Число активированных спортзон по доступности;Удовлетворенность спортзонами
Общая физическая подготовка;Академический район;595;43.504
Общая физическая подготовка;район Зябликово;541;42.531
Общая физическая подготовка;Ломоносовский район;475;34.965
Общая физическая подготовка;район Котловка;577;34.554
Общая физическая подготовка;район Черёмушки;529;34.248
Общая физическая подготовка;Гагаринский район;514;32.498
Общая физическая подготовка;район Марьино;615;32.266
Общая физическая подготовка;район Зюзино;578;31.556
Общая физическая подготовка;район Орехово-Борисово Южное;449;31.519
Общая физическая подготовка;район Братеево;585;31.508
Общая физическая подготовка;район Кузьминки;566;31.147
Общая физическая подготовка;район Орехово-Борисово Северное;409;31.094
Общая физическая подготовка;Обручевский район;506;30.103
Общая физическая подготовка;район Люблино;638;26.835
Общая физическая подготовка;район Коньково;566;26.439
Общая физическая подготовка;Рязанский район;468;24.819
Общая физическая подготовка;район Ясенево;293;24.274
Общая физическая подготовка;район Текстильщики;490;23.832
Общая физическая подготовка;Алтуфьевский район;415;23.651
Общая физическая подготовка;Бескудниковский район;358;23.442
Общая физическая подготовка;район Проспект Вернадского;462;23.290
Общая физическая подготовка;район Тёплый Стан;357;23.210
Общая физическая подготовка;район Северное Бутово;290;22.719
Общая физическая подготовка;район Новогиреево;487;22.456
Общая физическая подготовка;район Бирюлёво Восточное;277;22.228
Общая физическая подготовка;Нагорный район;428;21.495
Общая физическая подготовка;район Восточное Измайлово;513;21.392
Общая физическая подготовка;район Восточное Дегунино;370;21.350
Общая физическая подготовка;Тверской район;358;21.246
Баскетбол;район Зябликово;253;20.596
Общая физическая подготовка;район Вешняки;515;20.563
Общая физическая подготовка;район Крюково;158;20.376
Общая физическая подготовка;район Чертаново Северное;487;20.319
Общая физическая подготовка;район Ивановское;490;20.141
Общая физическая подготовка;район Бирюлёво Западное;218;20.107
Общая физическая подготовка;район Бибирево;352;19.992
Общая физическая подготовка;район Лианозово;361;19.647
Общая физическая подготовка;Мещанский район;343;19.523
Общая физическая подготовка;Пресненский район;336;19.413
Общая физическая подготовка;район Выхино-Жулебино;313;19.363
Общая физическая подготовка;Басманный район;335;19.295
Баскетбол;Академический район;229;19.258
Общая физическая подготовка;район Силино;193;19.207
Общая физическая подготовка;район Северное Измайлово;296;19.168
Общая физическая подготовка;район Беговой;404;19.030
Общая физическая подготовка;район Старое Крюково;179;18.965
Общая физическая подготовка;район Южное Бутово;198;18.957
Общая физическая подготовка;Красносельский район;340;18.913
Общая физическая подготовка;район Южное Медведково;342;18.825
Общая физическая подготовка;Бабушкинский район;339;18.816
Общая физическая подготовка;Алексеевский район;332;18.498
Общая физическая подготовка;Донской район;431;18.474
Общая физическая подготовка;район Отрадное;457;18.459
Общая физическая подготовка;Таганский район;337;18.421
Общая физическая подготовка;район Марьина Роща;338;18.355
Футбол;район Зябликово;195;18.247
Общая физическая подготовка;район Тропарёво-Никулино;383;18.178
Общая физическая подготовка;Савёловский район;374;18.174
Общая физическая подготовка;Дмитровский район;259;18.164
Общая физическая подготовка;район Западное Дегунино;259;18.072
Общая физическая подготовка;район Арбат;371;18.022
Баскетбол;район Братеево;287;17.944
Общая физическая подготовка;район Перово;396;17.132
Общая физическая подготовка;Бутырский район;364;16.767
Общая физическая подготовка;Останкинский район;354;16.735
Общая физическая подготовка;Лосиноостровский район;214;16.623
Общая физическая подготовка;район Северное Тушино;195;16.608
Баскетбол;район Марьино;282;16.607
Общая физическая подготовка;район Преображенское;335;16.357
Общая физическая подготовка;район Гольяново;286;16.350
Общая физическая подготовка;район Чертаново Центральное;411;16.334
Баскетбол;Ломоносовский район;196;16.046
Общая физическая подготовка;район Лефортово;343;15.857
Общая физическая подготовка;район Измайлово;337;15.738
Общая физическая подготовка;район Северное Медведково;295;15.734
Общая физическая подготовка;район Дорогомилово;271;15.549
Общая физическая подготовка;район Сокол;319;15.486
Общая физическая подготовка;район Фили-Давыдково;296;15.370
Общая физическая подготовка;район Замоскворечье;255;15.315
Общая физическая подготовка;район Новокосино;253;15.149
Общая физическая подготовка;район Митино;191;15.147
Общая физическая подготовка;район Якиманка;287;15.066
Общая физическая подготовка;Тимирязевский район;342;15.062
Общая физическая подготовка;Южнопортовый район;342;14.950
Футбол;Академический район;193;14.909
Общая физическая подготовка;район Сокольники;304;14.872
Общая физическая подготовка;район Южное Тушино;238;14.841
Общая физическая подготовка;район Нагатинский Затон;274;14.812
Общая физическая подготовка;район Свиблово;457;14.681
Общая физическая подготовка;район Хамовники;396;14.676
Баскетбол;Гагаринский район;214;14.667
Общая физическая подготовка;район Печатники;395;14.556
Общая физическая подготовка;район Москворечье-Сабурово;321;14.467
Общая физическая подготовка;Даниловский район;316;14.434
Баскетбол;район Орехово-Борисово Южное;198;14.374
Футбол;район Братеево;208;14.357
Общая физическая подготовка;район Кунцево;217;14.231
Баскетбол;Бескудниковский район;197;14.151
Общая физическая подготовка;район Ховрино;242;14.056
Воркаут;Академический район;157;13.961
Баскетбол;Алтуфьевский район;223;13.895
Общая физическая подготовка;район Матушкино;130;13.843
Общая физическая подготовка;район Чертаново Южное;279;13.740
Баскетбол;район Люблино;287;13.698
Общая физическая подготовка;район Аэропорт;282;13.643
Баскетбол;район Орехово-Борисово Северное;173;13.608
Общая физическая подготовка;район Марфино;398;13.583
Баскетбол;район Котловка;231;13.582
Общая физическая подготовка;район Раменки;367;13.564
Общая физическая подготовка;район Очаково-Матвеевское;341;13.520
Общая физическая подготовка;район Царицыно;320;13.444
Общая физическая подготовка;район Филёвский Парк;287;13.367
Футбол;район Чертаново Центральное;192;13.357
Баскетбол;район Черёмушки;204;13.347
Общая физическая подготовка;район Богородское;269;13.233
Общая физическая подготовка;Войковский район;344;13.193
Баскетбол;район Кузьминки;242;13.184
