Спортивный объект;Административный округ;Район;Адрес;Ведомсвенная организация;Доступность;Долгота;Широта
Парк Победы на Поклонной горе;Западный административный округ;район Дорогомилово;площадь Победы, дом 3, строение 2;Департамент жилищно-коммунального хозяйства города Москвы;Городское;37.506945;55.731632
Парк (озелененная городская территория) «Измайловский Парк»;Восточный административный округ;район Измайлово;аллея Большого Круга, дом 7;Департамент культуры города Москвы;Городское;37.75084560284093;55.768863439407006
Конно-спортивная база «Спортивная школа «Битца»;Южный административный округ;район Чертаново Северное;Балаклавский проспект, дом 33;Москомспорт.;Городское;37.58309683257861;55.642149702850396
Стадион «Москвич»;Юго-Восточный административный округ;район Текстильщики;Волгоградский проспект, дом 46/15, строение 1;Москомспорт.;Городское;37.73558056764985;55.70793899262102
Стадион «Российский университет дружбы народов»;Юго-Западный административный округ;Обручевский район;улица Миклухо-Маклая, дом 6;Минобрнауки России;Городское;37.494458968547804;55.65243146018574
Горнолыжный комплекс «Воробьёвы горы»;Западный административный округ;район Раменки;улица Косыгина, дом 28;Москомспорт.;Городское;37.54563849395554;55.709715886304274
Конно-спортивная база Государственного бюджетного учреждения города Москвы «Центр олимпийской подготовки» Департамента спорта города Москвы;Восточный административный округ;район Восточный;Западная улица, дом 16, строение 5;Москомспорт.;Городское;37.87582587450724;55.81450627658087
Стадион «Авангард»;Восточный административный округ;район Перово;шоссе Энтузиастов, дом 33;Москомспорт.;Городское;37.774303794235685;55.76412216337055
Государственное автономное учреждение культуры города Москвы «Центральный парк культуры и отдыха имени М. Горького»;Центральный административный округ;район Якиманка;улица Крымский Вал, дом 9, строение 1;Департамент культуры города Москвы;Городское;37.60186896029661;55.73003622481538
Многофункциональный спортивный комплекс «Центр спортивных технологий и сборных команд»;Центральный административный округ;Мещанский район;улица Советской Армии, дом 6;Москомспорт.;Городское;37.617356469905104;55.78707307430818
Стадион «Фили»;Западный административный округ;район Филёвский Парк;Новозаводская улица, дом 27А, строение 1;Государственная корпорация по космической деятельности «Роскосмос»;Городское;37.498788;55.749886
Спортивно-горнолыжная база «Крылатские холмы»;Западный административный округ;район Филёвский Парк;Рублёвское шоссе, дом 24, корпус 5;Министерство обороны Российской Федерации;Городское;37.43257532957673;55.744921692398705
Открытый ледовый каток «ГУМ-каток на Красной Площади»;Центральный административный округ;Тверской район;Красная площадь, дом 3;Департамент жилищно-коммунального хозяйства города Москвы;Городское;37.620861402900275;55.754754046921974
